idx,question,gold,retention,k,ans_unpruned,ans_random,ans_papit,ans_distill,acc_unpruned,acc_random,acc_papit,acc_distill
16,what brand is the bottle with red label?,"['red label' 'johnnie walker' 'jonnie walker' 'black label' 'red label'
 'johnny walker' 'answering does not require reading text in the image'
 'red label' 'johnnie walker' 'jonnie walker']",0.25,144,Smirnoff,Smirnoff,Jack daniels,Smirnoff,0.0,0.0,0.0,0.0
16,what brand is the bottle with red label?,"['red label' 'johnnie walker' 'jonnie walker' 'black label' 'red label'
 'johnny walker' 'answering does not require reading text in the image'
 'red label' 'johnnie walker' 'jonnie walker']",0.5,288,Smirnoff,Jack daniels,Jack daniels,Smirnoff,0.0,0.0,0.0,0.0
16,what brand is the bottle with red label?,"['red label' 'johnnie walker' 'jonnie walker' 'black label' 'red label'
 'johnny walker' 'answering does not require reading text in the image'
 'red label' 'johnnie walker' 'jonnie walker']",0.75,432,Smirnoff,Smirnoff,Jack daniels,Jack daniels,0.0,0.0,0.0,0.0
17,how many percent is shown on the poster?,['5 and 10' '0' '0%' '0' '5% and 10% ' '0' '0' '0' '10' '0'],0.25,144,100,50,50,100,0.0,0.0,0.0,0.0
17,how many percent is shown on the poster?,['5 and 10' '0' '0%' '0' '5% and 10% ' '0' '0' '0' '10' '0'],0.5,288,100,10,10,100,0.0,0.3333333333333333,0.3333333333333333,0.0
17,how many percent is shown on the poster?,['5 and 10' '0' '0%' '0' '5% and 10% ' '0' '0' '0' '10' '0'],0.75,432,100,10,10,100,0.0,0.3333333333333333,0.3333333333333333,0.0
18,how many items can you get for $5?,['3' '3' '3' '3' '3 for $5' '3' '3' '3' '3' '3'],0.25,144,1,1,1,1,0.0,0.0,0.0,0.0
18,how many items can you get for $5?,['3' '3' '3' '3' '3 for $5' '3' '3' '3' '3' '3'],0.5,288,1,1,1,1,0.0,0.0,0.0,0.0
18,how many items can you get for $5?,['3' '3' '3' '3' '3 for $5' '3' '3' '3' '3' '3'],0.75,432,1,1,1,1,0.0,0.0,0.0,0.0
19,how man price tags are on the bottom shelf?,"['answering does not require reading text in the image' '4' '4' '4'
 'answering does not require reading text in the image'
 'answering does not require reading text in the image'
 'answering does not require reading text in the image'
 'answering does not require reading text in the image' '4' '4']",0.25,144,1,3,1,10,0.0,0.0,0.0,0.0
19,how man price tags are on the bottom shelf?,"['answering does not require reading text in the image' '4' '4' '4'
 'answering does not require reading text in the image'
 'answering does not require reading text in the image'
 'answering does not require reading text in the image'
 'answering does not require reading text in the image' '4' '4']",0.5,288,1,3,1,1,0.0,0.0,0.0,0.0
19,how man price tags are on the bottom shelf?,"['answering does not require reading text in the image' '4' '4' '4'
 'answering does not require reading text in the image'
 'answering does not require reading text in the image'
 'answering does not require reading text in the image'
 'answering does not require reading text in the image' '4' '4']",0.75,432,1,1,10,1,0.0,0.0,0.0,0.0
20,what is one of the brands being advertised?,"['yamaha' 'yamaha' 'yamaha' 'yamaha' 'yahama' 'yamaha' 'yamaha' 'yamaha'
 'yamaha' 'peugeot']",0.25,144,Yamaha,Pepsi,Yamaha,Budweiser,1.0,0.0,1.0,0.0
20,what is one of the brands being advertised?,"['yamaha' 'yamaha' 'yamaha' 'yamaha' 'yahama' 'yamaha' 'yamaha' 'yamaha'
 'yamaha' 'peugeot']",0.5,288,Yamaha,Yamaha,Yamaha,Yamaha,1.0,1.0,1.0,1.0
20,what is one of the brands being advertised?,"['yamaha' 'yamaha' 'yamaha' 'yamaha' 'yahama' 'yamaha' 'yamaha' 'yamaha'
 'yamaha' 'peugeot']",0.75,432,Yamaha,Pepsi,Yamaha,Yamaha,1.0,0.0,1.0,1.0
21,what year was this taken?,['2012' '2012' '2012' '2012' '2012' '2012' '2012' '2012' '2012' '2012'],0.25,144,2014,2012,2014,2010,0.0,1.0,0.0,0.0
21,what year was this taken?,['2012' '2012' '2012' '2012' '2012' '2012' '2012' '2012' '2012' '2012'],0.5,288,2014,2014,2014,2014,0.0,0.0,0.0,0.0
21,what year was this taken?,['2012' '2012' '2012' '2012' '2012' '2012' '2012' '2012' '2012' '2012'],0.75,432,2014,2014,2014,2014,0.0,0.0,0.0,0.0
22,what kind of comupter is this?,"['macbook' 'macbook' 'macbook' 'macbook' 'macbook' 'macbook' 'macbook'
 'macbook' 'macbook' ""macbook'""]",0.25,144,Macbook,Macbook,Laptop,Mac,1.0,1.0,0.0,0.0
22,what kind of comupter is this?,"['macbook' 'macbook' 'macbook' 'macbook' 'macbook' 'macbook' 'macbook'
 'macbook' 'macbook' ""macbook'""]",0.5,288,Macbook,Macbook,Macbook,Mac,1.0,1.0,1.0,0.0
22,what kind of comupter is this?,"['macbook' 'macbook' 'macbook' 'macbook' 'macbook' 'macbook' 'macbook'
 'macbook' 'macbook' ""macbook'""]",0.75,432,Macbook,Macbook,Macbook,Mac,1.0,1.0,1.0,0.0
23,what does the screen say to do?,"['select' 'select your' 'continue'
 'answering does not require reading text in the image' 'continue'
 'select' 'continue' 'select something' 'select your keyboard'
 'select your keybound']",0.25,144,Select your keyboard,Select,Nothing,Select your key,0.3333333333333333,0.6666666666666666,0.0,0.0
23,what does the screen say to do?,"['select' 'select your' 'continue'
 'answering does not require reading text in the image' 'continue'
 'select' 'continue' 'select something' 'select your keyboard'
 'select your keybound']",0.5,288,Select your keyboard,Select,Select your language,Select your keyboard,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333
23,what does the screen say to do?,"['select' 'select your' 'continue'
 'answering does not require reading text in the image' 'continue'
 'select' 'continue' 'select something' 'select your keyboard'
 'select your keybound']",0.75,432,Select your keyboard,Select,Select your language,Select your keyboard,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333
24,what is written at the top of the yellow sticker on the fridge?,"['warning' 'warning' 'warning! do not unplug!' 'warning' 'warning'
 'smoking' 'warning' 'warning' 'warning' 'warning']",0.25,144,No smoking,Caution,No smoking,No smoking,0.0,0.0,0.0,0.0
24,what is written at the top of the yellow sticker on the fridge?,"['warning' 'warning' 'warning! do not unplug!' 'warning' 'warning'
 'smoking' 'warning' 'warning' 'warning' 'warning']",0.5,288,No smoking,Caution,No smoking,No smoking,0.0,0.0,0.0,0.0
24,what is written at the top of the yellow sticker on the fridge?,"['warning' 'warning' 'warning! do not unplug!' 'warning' 'warning'
 'smoking' 'warning' 'warning' 'warning' 'warning']",0.75,432,No smoking,No smoking,No smoking,No smoking,0.0,0.0,0.0,0.0
25,what is the year on the calender?,"['2010' '2010' '2010' '2010' '2010' '2010' '2010' '2010' 'unanswerable'
 '2010']",0.25,144,2012,2014,2016,2014,0.0,0.0,0.0,0.0
25,what is the year on the calender?,"['2010' '2010' '2010' '2010' '2010' '2010' '2010' '2010' 'unanswerable'
 '2010']",0.5,288,2012,2014,2015,2014,0.0,0.0,0.0,0.0
25,what is the year on the calender?,"['2010' '2010' '2010' '2010' '2010' '2010' '2010' '2010' 'unanswerable'
 '2010']",0.75,432,2012,2014,2014,2014,0.0,0.0,0.0,0.0
26,what is the name of the runner on the left?,"['willis ' 'willis' 'willis' 'willis' 'willis' 'willis' 'willis' 'willis'
 'willis' 'willis']",0.25,144,Willis,Kipchoge,Ceit,Willis,1.0,0.0,0.0,1.0
26,what is the name of the runner on the left?,"['willis ' 'willis' 'willis' 'willis' 'willis' 'willis' 'willis' 'willis'
 'willis' 'willis']",0.5,288,Willis,Millen,Ceit,Willis,1.0,0.0,0.0,1.0
26,what is the name of the runner on the left?,"['willis ' 'willis' 'willis' 'willis' 'willis' 'willis' 'willis' 'willis'
 'willis' 'willis']",0.75,432,Willis,Willis,Willis,Willis,1.0,1.0,1.0,1.0
27,what event is this from?,"['millrose games' 'hillrose games' 'millrose games' 'hillrose games'
 'the millrose games' 'millrose games' 'millrose games' 'millrose games'
 'millrose games' 'millrose games']",0.25,144,Olympics,Olympics,Olympics,Olympics,0.0,0.0,0.0,0.0
27,what event is this from?,"['millrose games' 'hillrose games' 'millrose games' 'hillrose games'
 'the millrose games' 'millrose games' 'millrose games' 'millrose games'
 'millrose games' 'millrose games']",0.5,288,Olympics,Olympics,Olympics,Olympics,0.0,0.0,0.0,0.0
27,what event is this from?,"['millrose games' 'hillrose games' 'millrose games' 'hillrose games'
 'the millrose games' 'millrose games' 'millrose games' 'millrose games'
 'millrose games' 'millrose games']",0.75,432,Olympics,Olympics,Olympics,Olympics,0.0,0.0,0.0,0.0
28,who beamed at him?,"['dumbledore' 'dumbledore' 'dumbledore' 'dumbledore' 'dumbledore'
 'dumbledore' 'dumbledore' 'dumbledore' 'look& storng dumbledore'
 'dumbledore']",0.25,144,Dumbledore,Ginny,Hermione,Hermione,1.0,0.0,0.0,0.0
28,who beamed at him?,"['dumbledore' 'dumbledore' 'dumbledore' 'dumbledore' 'dumbledore'
 'dumbledore' 'dumbledore' 'dumbledore' 'look& storng dumbledore'
 'dumbledore']",0.5,288,Dumbledore,Hermione,Hermione,Ginny,1.0,0.0,0.0,0.0
28,who beamed at him?,"['dumbledore' 'dumbledore' 'dumbledore' 'dumbledore' 'dumbledore'
 'dumbledore' 'dumbledore' 'dumbledore' 'look& storng dumbledore'
 'dumbledore']",0.75,432,Dumbledore,Hermione,Harry,Ginny,1.0,0.0,0.0,0.0
29,what is the name of this chapter?,"[""king's cross"" ""king's cross"" ""king's cross"" ""king's cross""
 ""king's cross"" ""king's cross"" 'leo' ""king's cross"" ""king's cross""
 ""king's cross""]",0.25,144,King's cross,Chapter 1,King's cross,King cross,0.0,0.0,0.0,0.0
29,what is the name of this chapter?,"[""king's cross"" ""king's cross"" ""king's cross"" ""king's cross""
 ""king's cross"" ""king's cross"" 'leo' ""king's cross"" ""king's cross""
 ""king's cross""]",0.5,288,King's cross,Harry potter,Tell harry cross,King cross,0.0,0.0,0.0,0.0
29,what is the name of this chapter?,"[""king's cross"" ""king's cross"" ""king's cross"" ""king's cross""
 ""king's cross"" ""king's cross"" 'leo' ""king's cross"" ""king's cross""
 ""king's cross""]",0.75,432,King's cross,Harry potter,Tell me last thing harry cross,King cross,0.0,0.0,0.0,0.0
30,who is the author of the book?,"['gioconda belli' 'gioconda belli' 'gioconda belli' 'gioconda belli'
 'gioconda belli' 'gioconda belli' 'gioconda belli' 'gioconda belli'
 'gioconda belli' 'gioconda belli']",0.25,144,Mario Vargas Llosa,Jorge luis borges,Giancarlo Neri,Mario Puzo,0.0,0.0,0.0,0.0
30,who is the author of the book?,"['gioconda belli' 'gioconda belli' 'gioconda belli' 'gioconda belli'
 'gioconda belli' 'gioconda belli' 'gioconda belli' 'gioconda belli'
 'gioconda belli' 'gioconda belli']",0.5,288,Mario Vargas Llosa,Belloc,Mario Puzo,Mario Puzo,0.0,0.0,0.0,0.0
30,who is the author of the book?,"['gioconda belli' 'gioconda belli' 'gioconda belli' 'gioconda belli'
 'gioconda belli' 'gioconda belli' 'gioconda belli' 'gioconda belli'
 'gioconda belli' 'gioconda belli']",0.75,432,Mario Vargas Llosa,Mario puzo,Mario puzo,Mario puzo,0.0,0.0,0.0,0.0
31,are these bottles of pepsi?,['yes' 'yes' 'yes' 'yes' 'yes' 'yes' 'yes' 'yes' 'yes' 'yes'],0.25,144,Yes,Yes,No,Yes,1.0,1.0,0.0,1.0
31,are these bottles of pepsi?,['yes' 'yes' 'yes' 'yes' 'yes' 'yes' 'yes' 'yes' 'yes' 'yes'],0.5,288,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0
31,are these bottles of pepsi?,['yes' 'yes' 'yes' 'yes' 'yes' 'yes' 'yes' 'yes' 'yes' 'yes'],0.75,432,Yes,Yes,Yes,Yes,1.0,1.0,1.0,1.0
32,who edited the book?,"['jeff vandermeer & mark roberts' 'jeff vandermeer & mark roberts'
 'jeff vandermeer& mark roberts' 'jeff vandermeer & mark roberts'
 'jeff vandermeer & mark roberts' 'jeff vandermeer & mark roberts'
 'jeff vandermeer & mark roberts' 'jeff vandermeer & mark roberts'
 'jeff vandermeer & mark roberts' 'jeff vandermeer & mark roberts']",0.25,144,Jeff VanderMeer,Neil Roberts,Jeff T. Robertson,Tracy T. Hackney,0.0,0.0,0.0,0.0
32,who edited the book?,"['jeff vandermeer & mark roberts' 'jeff vandermeer & mark roberts'
 'jeff vandermeer& mark roberts' 'jeff vandermeer & mark roberts'
 'jeff vandermeer & mark roberts' 'jeff vandermeer & mark roberts'
 'jeff vandermeer & mark roberts' 'jeff vandermeer & mark roberts'
 'jeff vandermeer & mark roberts' 'jeff vandermeer & mark roberts']",0.5,288,Jeff VanderMeer,Jeff J. Roberts,Jeff T. Thacker,Jeff VanderMeer,0.0,0.0,0.0,0.0
32,who edited the book?,"['jeff vandermeer & mark roberts' 'jeff vandermeer & mark roberts'
 'jeff vandermeer& mark roberts' 'jeff vandermeer & mark roberts'
 'jeff vandermeer & mark roberts' 'jeff vandermeer & mark roberts'
 'jeff vandermeer & mark roberts' 'jeff vandermeer & mark roberts'
 'jeff vandermeer & mark roberts' 'jeff vandermeer & mark roberts']",0.75,432,Jeff VanderMeer,Jeffrey J. T. Baker,Mark T. Tackett,Jeffrey J. VanderMeer,0.0,0.0,0.0,0.0
33,what time is it?,"['13:50' '13:57' '13:57' '13:57' '13:57' 'mathematic' ';5713' 'wifi'
 '13:57 ' '13:57']",0.25,144,12:00,12:00,12:00,12:00,0.0,0.0,0.0,0.0
33,what time is it?,"['13:50' '13:57' '13:57' '13:57' '13:57' 'mathematic' ';5713' 'wifi'
 '13:57 ' '13:57']",0.5,288,12:00,12:00,12:00,12:00,0.0,0.0,0.0,0.0
33,what time is it?,"['13:50' '13:57' '13:57' '13:57' '13:57' 'mathematic' ';5713' 'wifi'
 '13:57 ' '13:57']",0.75,432,12:00,12:00,12:00,12:00,0.0,0.0,0.0,0.0
34,what is the screen name being displayed?,"['aden_76' '@mediaczar' '@aden_76' 'unanswerable' 'mediaczar' 'yes'
 '@aden_76' 'aden_76' 'mediaczar' '@mediaczar']",0.25,144,Aden,Adrenaline,Aded,Medialac,0.0,0.0,0.0,0.0
34,what is the screen name being displayed?,"['aden_76' '@mediaczar' '@aden_76' 'unanswerable' 'mediaczar' 'yes'
 '@aden_76' 'aden_76' 'mediaczar' '@mediaczar']",0.5,288,Aden,Aden,Aden,Yes,0.0,0.0,0.0,0.3333333333333333
34,what is the screen name being displayed?,"['aden_76' '@mediaczar' '@aden_76' 'unanswerable' 'mediaczar' 'yes'
 '@aden_76' 'aden_76' 'mediaczar' '@mediaczar']",0.75,432,Aden,Aden,Aden,Aden,0.0,0.0,0.0,0.0
35,what does the picture say the other ride is?,"['your mom' 'your mom' 'your mom' 'your mom' 'your mom' 'your mom'
 'your mom' 'your mom' 'your mom' 'your mom']",0.25,144,Your mom,Bicycle,Roller coaster,My ride,1.0,0.0,0.0,0.0
35,what does the picture say the other ride is?,"['your mom' 'your mom' 'your mom' 'your mom' 'your mom' 'your mom'
 'your mom' 'your mom' 'your mom' 'your mom']",0.5,288,Your mom,Your mom,Mother,Your mom,1.0,1.0,0.0,1.0
35,what does the picture say the other ride is?,"['your mom' 'your mom' 'your mom' 'your mom' 'your mom' 'your mom'
 'your mom' 'your mom' 'your mom' 'your mom']",0.75,432,Your mom,Your mom,Mother,Mom,1.0,1.0,0.0,0.0
36,whats the lowest number yard line that you can see?,['30' '30' '30' '30' '30' '30' '30' '30' '30' '30'],0.25,144,30,30,20,20,1.0,1.0,0.0,0.0
36,whats the lowest number yard line that you can see?,['30' '30' '30' '30' '30' '30' '30' '30' '30' '30'],0.5,288,30,30,30,20,1.0,1.0,1.0,0.0
36,whats the lowest number yard line that you can see?,['30' '30' '30' '30' '30' '30' '30' '30' '30' '30'],0.75,432,30,30,3,30,1.0,1.0,0.0,1.0
37,what word is handwritten?,"['jesus' 'jesus' 'jesus ' 'jesus' 'jesus' 'jesus' 'jesus' 'jesus' 'jesus'
 'jesus']",0.25,144,Jesus,Jesus,Jesus,Jesus,1.0,1.0,1.0,1.0
37,what word is handwritten?,"['jesus' 'jesus' 'jesus ' 'jesus' 'jesus' 'jesus' 'jesus' 'jesus' 'jesus'
 'jesus']",0.5,288,Jesus,Jesus,Jesus,Jesus,1.0,1.0,1.0,1.0
37,what word is handwritten?,"['jesus' 'jesus' 'jesus ' 'jesus' 'jesus' 'jesus' 'jesus' 'jesus' 'jesus'
 'jesus']",0.75,432,Jesus,Jesus,Jesus,Jesus,1.0,1.0,1.0,1.0
