shard,idx_in_shard,image_path,question,source
0,25,/opt/dlami/nvme/data/raw_distill/gqa_train/2399264.jpg,What is located on top of the white object that is to the right of the cabinet?,gqa
0,26,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00004-of-00020_1714.jpg,what year is this coin?,textvqa
0,27,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00008-of-00020_1050.jpg,how many milliliters are in this container?,textvqa
0,28,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00007-of-00020_619.jpg,what is the time?,textvqa
0,29,/opt/dlami/nvme/data/raw_distill/gqa_train/2326876.jpg,Are the wires on the bed?,gqa
0,30,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00008-of-00136_2918.jpg,Are these harleys?,vqav2
0,31,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00002-of-00020_1474.jpg,what brand of fireworks is on the box?,textvqa
0,32,/opt/dlami/nvme/data/raw_distill/gqa_train/2410153.jpg,Does the wall have the same color as the blanket?,gqa
0,33,/opt/dlami/nvme/data/raw_distill/gqa_train/2344656.jpg,What type of device is to the right of the man on the left?,gqa
0,34,/opt/dlami/nvme/data/raw_distill/gqa_train/2391556.jpg,Is the rope of the man on the left or on the right?,gqa
0,35,/opt/dlami/nvme/data/raw_distill/gqa_train/2375342.jpg,Is the birthday cake to the right or to the left of the utensil made of steel?,gqa
0,36,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00006-of-00136_191.jpg,What color is the motorcycle?,vqav2
0,37,/opt/dlami/nvme/data/raw_distill/gqa_train/2336433.jpg,What is the animal to the left of the palm on the right of the photo?,gqa
0,38,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00009-of-00020_1280.jpg,what is this ad saying the street is more important than?,textvqa
0,39,/opt/dlami/nvme/data/raw_distill/gqa_train/2366676.jpg,Do the clouds look gray and dense?,gqa
0,40,/opt/dlami/nvme/data/raw_distill/gqa_train/2379031.jpg,Are the gray rocks in front of the blue boats that are on the sand?,gqa
0,41,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00005-of-00020_925.jpg,what year was this server?,textvqa
0,42,/opt/dlami/nvme/data/raw_distill/gqa_train/2377963.jpg,The lamp the pillow is to the left of has what color?,gqa
0,43,/opt/dlami/nvme/data/raw_distill/gqa_train/2375902.jpg,Do you see a plate on the glass table?,gqa
0,44,/opt/dlami/nvme/data/raw_distill/gqa_train/2356256.jpg,Which place is it?,gqa
0,45,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00008-of-00136_3052.jpg,How many different animal species can you spot?,vqav2
0,46,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00000-of-00136_1685.jpg,What color is the trolley?,vqav2
0,47,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00007-of-00136_2657.jpg,How many pink chairs are in the room?,vqav2
0,48,/opt/dlami/nvme/data/raw_distill/gqa_train/2316006.jpg,What is the cup on?,gqa
0,49,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00003-of-00020_6.jpg,which state is the paper from?,textvqa
0,50,/opt/dlami/nvme/data/raw_distill/gqa_train/2355028.jpg,Is there a puppy in the grass that looks green?,gqa
0,51,/opt/dlami/nvme/data/raw_distill/gqa_train/2401050.jpg,What are the black gloves lying on?,gqa
0,52,/opt/dlami/nvme/data/raw_distill/gqa_train/2372147.jpg,Which kind of furniture is made of wood?,gqa
0,53,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00006-of-00136_973.jpg,What is the black item?,vqav2
0,54,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00001-of-00136_1111.jpg,Which traffic light will you follow to go straight?,vqav2
0,55,/opt/dlami/nvme/data/raw_distill/gqa_train/2383087.jpg,Which color is the shirt the woman is in?,gqa
0,56,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00007-of-00020_1590.jpg,what time does the phone show?,textvqa
0,57,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00007-of-00136_850.jpg,What are the guys wearing around their necks?,vqav2
0,58,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00010-of-00020_768.jpg,what version of mac is this?,textvqa
0,59,/opt/dlami/nvme/data/raw_distill/gqa_train/2379641.jpg,What kind of device is not white?,gqa
0,60,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00002-of-00020_1148.jpg,what century is cited in the display?,textvqa
0,61,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00003-of-00136_1980.jpg,What color are the cows eyes?,vqav2
0,62,/opt/dlami/nvme/data/raw_distill/gqa_train/2403482.jpg,Is the fence in the bottom part or in the top of the photo?,gqa
0,63,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00001-of-00020_468.jpg,what countries' guide books are in the picture?,textvqa
0,64,/opt/dlami/nvme/data/raw_distill/gqa_train/2383867.jpg,What vegetable is above the fork on the plate?,gqa
0,65,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00008-of-00136_2345.jpg,Is the picture outside?,vqav2
0,66,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00003-of-00136_266.jpg,What is the bus number?,vqav2
0,67,/opt/dlami/nvme/data/raw_distill/gqa_train/2394777.jpg,Which side is the couch on?,gqa
0,68,/opt/dlami/nvme/data/raw_distill/gqa_train/2103.jpg,What appliance is in the kitchen?,gqa
0,69,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00002-of-00020_1001.jpg,what is the bucket intended to hold?,textvqa
0,70,/opt/dlami/nvme/data/raw_distill/gqa_train/2373002.jpg,Are there both cakes and cupcakes in the picture?,gqa
0,71,/opt/dlami/nvme/data/raw_distill/gqa_train/2386391.jpg,Is there a toaster to the left of the paper towels?,gqa
0,72,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00004-of-00136_1238.jpg,What kind of train is this?,vqav2
0,73,/opt/dlami/nvme/data/raw_distill/gqa_train/2407210.jpg,Are there any dishwashers below the counter the sink is on?,gqa
0,74,/opt/dlami/nvme/data/raw_distill/gqa_train/2316802.jpg,What type of furniture is to the left of the blue object on the end table?,gqa
0,75,/opt/dlami/nvme/data/raw_distill/gqa_train/2416090.jpg,Is that pillow on a bed?,gqa
0,76,/opt/dlami/nvme/data/raw_distill/gqa_train/2341154.jpg,What kind of furniture are the plates on?,gqa
0,77,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00005-of-00136_283.jpg,What is covering the tower?,vqav2
0,78,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00011-of-00020_57.jpg,what kind of cv is on the third book?,textvqa
0,79,/opt/dlami/nvme/data/raw_distill/gqa_train/2350940.jpg,Is there a snow board or snow in this photo?,gqa
0,80,/opt/dlami/nvme/data/raw_distill/gqa_train/2386107.jpg,What are the items of furniture to the right of the pillow that is in the middle called?,gqa
0,81,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00004-of-00136_535.jpg,Has this photo been altered?,vqav2
0,82,/opt/dlami/nvme/data/raw_distill/gqa_train/2336751.jpg,What color is the zebra that is to the right of the other zebra?,gqa
0,83,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00005-of-00136_2787.jpg,Has the grass been mowed recently?,vqav2
0,84,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00003-of-00020_1219.jpg,what brand is on the clear bottle?,textvqa
0,85,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00011-of-00020_444.jpg,what is the sponsor name on the sports jersey?,textvqa
0,86,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00001-of-00136_666.jpg,What color are the plates?,vqav2
0,87,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00004-of-00020_148.jpg,how many bottles fit nicely 2 by 2?,textvqa
0,88,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00004-of-00136_2031.jpg,Where has the cat slept?,vqav2
0,89,/opt/dlami/nvme/data/raw_distill/gqa_train/2342889.jpg,Which kind of bag is to the left of the pineapple?,gqa
0,90,/opt/dlami/nvme/data/raw_distill/gqa_train/2393593.jpg,Is the teddy bear to the right of the man brown and little?,gqa
0,91,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00002-of-00136_708.jpg,What base is shown?,vqav2
0,92,/opt/dlami/nvme/data/raw_distill/gqa_train/2335343.jpg,What is on the plate on the right of the image?,gqa
0,93,/opt/dlami/nvme/data/raw_distill/gqa_train/2366998.jpg,What kind of furniture is wooden?,gqa
0,94,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00006-of-00020_1530.jpg,what is written on the sign on the left?,textvqa
0,95,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00006-of-00020_1575.jpg,what does the sign on the cupboard want the employees to do?,textvqa
0,96,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00000-of-00020_1346.jpg,what does it want you to do?,textvqa
0,97,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00001-of-00136_2062.jpg,What kind of coat is he wearing?,vqav2
0,98,/opt/dlami/nvme/data/raw_distill/gqa_train/2324406.jpg,Are there black helmets in this picture?,gqa
0,99,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00006-of-00136_1644.jpg,Has the laptop been turned off?,vqav2
1,0,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00000-of-00136_2458.jpg,What color is the umbrella the little girl on the right wearing?,vqav2
1,1,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00004-of-00020_1423.jpg,what is the bus number?,textvqa
1,2,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00001-of-00020_632.jpg,where is the coffee from?,textvqa
1,3,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00004-of-00136_2297.jpg,Where are they all going?,vqav2
1,4,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00002-of-00136_3123.jpg,What powers this engine?,vqav2
1,5,/opt/dlami/nvme/data/raw_distill/gqa_train/2410624.jpg,Is there a desk above the shelf the bottle is on?,gqa
1,6,/opt/dlami/nvme/data/raw_distill/gqa_train/2398117.jpg,Is the skateboarder to the right of the black device?,gqa
1,7,/opt/dlami/nvme/data/raw_distill/gqa_train/4093.jpg,Is the radiator to the left of a camera?,gqa
1,8,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00007-of-00020_1668.jpg,what is the name of the item in the box?,textvqa
1,9,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00005-of-00020_1232.jpg,what is on the right at the top?,textvqa
1,10,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00000-of-00020_1143.jpg,what year was the boat trip?,textvqa
1,11,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00009-of-00020_227.jpg,what does the small print say?,textvqa
1,12,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00005-of-00020_752.jpg,who makes the keyboard?,textvqa
1,13,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00001-of-00136_1960.jpg,Is there a cyclist?,vqav2
1,14,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00007-of-00136_804.jpg,Is that a real bus?,vqav2
1,15,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00004-of-00136_3241.jpg,Where was the photo taken?,vqav2
1,16,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00004-of-00136_2487.jpg,Are these giraffes the same height?,vqav2
1,17,/opt/dlami/nvme/data/raw_distill/gqa_train/2400860.jpg,Are there fences near the bike?,gqa
1,18,/opt/dlami/nvme/data/raw_distill/gqa_train/2360996.jpg,Who is wearing a tee shirt?,gqa
1,19,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00003-of-00020_1354.jpg,what is the name of this item?,textvqa
1,20,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00001-of-00020_854.jpg,what kind of encyclopedia is this?,textvqa
1,21,/opt/dlami/nvme/data/raw_distill/gqa_train/2374577.jpg,Is there any grass that is not green?,gqa
1,22,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00006-of-00020_1275.jpg,what is connected to the audio clip?,textvqa
1,23,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00003-of-00136_2997.jpg,Can you make out the name of the street?,vqav2
1,24,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00002-of-00020_878.jpg,what are these items?,textvqa
1,25,/opt/dlami/nvme/data/raw_distill/gqa_train/2388438.jpg,Is the red motorcycle to the right or to the left of the mirror on the left?,gqa
1,26,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00008-of-00136_2364.jpg,What color is the background horizon?,vqav2
1,27,/opt/dlami/nvme/data/raw_distill/gqa_train/1159541.jpg,"On which side is the cabinet, the left or the right?",gqa
1,28,/opt/dlami/nvme/data/raw_distill/gqa_train/2343877.jpg,Are there any bikes or chalkboards?,gqa
1,29,/opt/dlami/nvme/data/raw_distill/gqa_train/2368397.jpg,"How does the black book look, empty or full?",gqa
1,30,/opt/dlami/nvme/data/raw_distill/gqa_train/2406024.jpg,Is the girl wearing a dress?,gqa
1,31,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00002-of-00020_132.jpg,who performs the jazz track album?,textvqa
1,32,/opt/dlami/nvme/data/raw_distill/gqa_train/2393931.jpg,Who is the lady holding?,gqa
1,33,/opt/dlami/nvme/data/raw_distill/gqa_train/2388605.jpg,Do the jacket and the glove have a different colors?,gqa
1,34,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00004-of-00020_972.jpg,"you leave today and enter the world of yesterday, tomorrow, and what?",textvqa
1,35,/opt/dlami/nvme/data/raw_distill/gqa_train/2390029.jpg,What kind of furniture is the girl on?,gqa
1,36,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00005-of-00136_1088.jpg,Where does this scene likely take place?,vqav2
1,37,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00010-of-00020_782.jpg,what brand of tv does the remote belong to?,textvqa
1,38,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00009-of-00020_29.jpg,what is the large white letter on the banner?,textvqa
1,39,/opt/dlami/nvme/data/raw_distill/gqa_train/2410343.jpg,Is the shirt gray?,gqa
1,40,/opt/dlami/nvme/data/raw_distill/gqa_train/2415310.jpg,Do the two people have the same gender?,gqa
1,41,/opt/dlami/nvme/data/raw_distill/gqa_train/2347173.jpg,Is the salmon that is to the left of the onion fresh and raw?,gqa
1,42,/opt/dlami/nvme/data/raw_distill/gqa_train/2361402.jpg,Is this lady to the right of glasses?,gqa
1,43,/opt/dlami/nvme/data/raw_distill/gqa_train/2359757.jpg,Is it outdoors or indoors?,gqa
1,44,/opt/dlami/nvme/data/raw_distill/gqa_train/2371730.jpg,What is wrapped in the net?,gqa
1,45,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00007-of-00020_1210.jpg,what type of material is the case made of?,textvqa
1,46,/opt/dlami/nvme/data/raw_distill/gqa_train/2326152.jpg,Is the chair to the right of the tongs beige or black?,gqa
1,47,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00000-of-00136_2925.jpg,Are the skiers appropriately dressed?,vqav2
1,48,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00003-of-00136_3075.jpg,What is the umbrella made of?,vqav2
1,49,/opt/dlami/nvme/data/raw_distill/gqa_train/2350706.jpg,Is there a woman in front of the man that is petting the horse?,gqa
1,50,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00001-of-00020_1213.jpg,who is the author of the book ?,textvqa
1,51,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00005-of-00020_1724.jpg,is that a pot store?,textvqa
1,52,/opt/dlami/nvme/data/raw_distill/gqa_train/2348807.jpg,What is the food on the plate to the left of the knife?,gqa
1,53,/opt/dlami/nvme/data/raw_distill/gqa_train/2370562.jpg,Are there any elephants or bears that are walking?,gqa
1,54,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00010-of-00020_1141.jpg,what venue are they playing at?,textvqa
1,55,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00001-of-00020_1308.jpg,who wrote this book?,textvqa
1,56,/opt/dlami/nvme/data/raw_distill/gqa_train/2387042.jpg,"What is the person that is skiing doing, running or jumping?",gqa
1,57,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00009-of-00136_525.jpg,What activity are these people participating in?,vqav2
1,58,/opt/dlami/nvme/data/raw_distill/gqa_train/2316574.jpg,What device is to the left of the backpack?,gqa
1,59,/opt/dlami/nvme/data/raw_distill/gqa_train/2360555.jpg,Is the man to the left of the bookshelves wearing a suit?,gqa
1,60,/opt/dlami/nvme/data/raw_distill/gqa_train/2374578.jpg,Which kind of furniture is made of wood?,gqa
1,61,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00005-of-00136_418.jpg,What streets intersect?,vqav2
1,62,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00008-of-00136_2226.jpg,What is the blue object on the side of the building?,vqav2
1,63,/opt/dlami/nvme/data/raw_distill/gqa_train/2415352.jpg,Is there any can on the side of the street?,gqa
1,64,/opt/dlami/nvme/data/raw_distill/gqa_train/2395133.jpg,"On which side of the picture is the person, the left or the right?",gqa
1,65,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00010-of-00020_257.jpg,who makes crown?,textvqa
1,66,/opt/dlami/nvme/data/raw_distill/gqa_train/2392718.jpg,Which pattern is the costume of the bear?,gqa
1,67,/opt/dlami/nvme/data/raw_distill/gqa_train/2395338.jpg,Is the car in front of the building black or red?,gqa
1,68,/opt/dlami/nvme/data/raw_distill/gqa_train/150299.jpg,What is the color of the bottle of the ketchup?,gqa
1,69,/opt/dlami/nvme/data/raw_distill/gqa_train/3523.jpg,Which kind of device is on the blanket?,gqa
1,70,/opt/dlami/nvme/data/raw_distill/gqa_train/2325315.jpg,Do you see any green cups or bags?,gqa
1,71,/opt/dlami/nvme/data/raw_distill/gqa_train/2390200.jpg,Is the sofa black or white?,gqa
1,72,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00003-of-00020_1041.jpg,what hotel is this from?,textvqa
1,73,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00004-of-00020_1204.jpg,what does the black sign say in front of the pillar?,textvqa
1,74,/opt/dlami/nvme/data/raw_distill/gqa_train/2414388.jpg,What kind of furniture is the tag on?,gqa
1,75,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00007-of-00020_372.jpg,what is the make of the tv?,textvqa
1,76,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00005-of-00136_2109.jpg,Is the day sunny?,vqav2
1,77,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00004-of-00136_1431.jpg,Is the person moving?,vqav2
1,78,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00000-of-00136_1019.jpg,What sport are they playing?,vqav2
1,79,/opt/dlami/nvme/data/raw_distill/gqa_train/2319504.jpg,Are there any curtains to the left of the cabinets?,gqa
1,80,/opt/dlami/nvme/data/raw_distill/gqa_train/2408885.jpg,What is that bus in front of?,gqa
1,81,/opt/dlami/nvme/data/raw_distill/gqa_train/2334305.jpg,Which color is the vehicle that the cloud is above?,gqa
1,82,/opt/dlami/nvme/data/raw_distill/gqa_train/2407470.jpg,Does that toilet seem to be white and wooden?,gqa
1,83,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00001-of-00136_2054.jpg,Is the giraffe facing the right side?,vqav2
1,84,/opt/dlami/nvme/data/raw_distill/gqa_train/2364104.jpg,What animal is in front of the trees the rocks are next to?,gqa
1,85,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00001-of-00136_3074.jpg,What food are they eating?,vqav2
1,86,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00008-of-00136_3173.jpg,Is this a dead end?,vqav2
1,87,/opt/dlami/nvme/data/raw_distill/gqa_train/2413965.jpg,Is the bike to the left or to the right of the vehicle on the right of the photo?,gqa
1,88,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00006-of-00136_577.jpg,Is the bear looking for salmon?,vqav2
1,89,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00006-of-00136_1091.jpg,What kind of flower is this?,vqav2
1,90,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00001-of-00136_2750.jpg,Are the vehicles suppose to stop?,vqav2
1,91,/opt/dlami/nvme/data/raw_distill/gqa_train/2322634.jpg,Are there remote controls?,gqa
1,92,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00002-of-00136_292.jpg,The designs on the plates are?,vqav2
1,93,/opt/dlami/nvme/data/raw_distill/gqa_train/2403664.jpg,Are there bridges or bowls that are small?,gqa
1,94,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00005-of-00136_2751.jpg,Are the flowers purple?,vqav2
1,95,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00000-of-00136_452.jpg,Are there any entrance gates at the bottom of the tower?,vqav2
1,96,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00006-of-00020_327.jpg,"what is ""2'x6'""?",textvqa
1,97,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00000-of-00136_2884.jpg,How many men do you see with button down shirts?,vqav2
1,98,/opt/dlami/nvme/data/raw_distill/gqa_train/2345624.jpg,Which kind of food is to the left of the bread?,gqa
1,99,/opt/dlami/nvme/data/raw_distill/gqa_train/2340782.jpg,Is there a panda near the trees?,gqa
2,0,/opt/dlami/nvme/data/raw_distill/gqa_train/2382077.jpg,Is the tall giraffe facing the same direction?,gqa
2,1,/opt/dlami/nvme/data/raw_distill/gqa_train/2408262.jpg,Are the plane and the building the same color?,gqa
2,2,/opt/dlami/nvme/data/raw_distill/gqa_train/2414925.jpg,Is the container that is to the left of the computer closed or open?,gqa
2,3,/opt/dlami/nvme/data/raw_distill/gqa_train/2413463.jpg,What toy is to the left of the man?,gqa
2,4,/opt/dlami/nvme/data/raw_distill/gqa_train/2395644.jpg,Are there both a door and a window in the photograph?,gqa
2,5,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00006-of-00020_745.jpg,what brand of beer is this?,textvqa
2,6,/opt/dlami/nvme/data/raw_distill/gqa_train/2394266.jpg,Are there both a plate and a knife in this photo?,gqa
2,7,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00008-of-00136_1625.jpg,Is the boys hat blue?,vqav2
2,8,/opt/dlami/nvme/data/raw_distill/gqa_train/2404326.jpg,Is the person with the helmet wearing jeans?,gqa
2,9,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00004-of-00136_2299.jpg,Is the woman dozing?,vqav2
2,10,/opt/dlami/nvme/data/raw_distill/gqa_train/2377946.jpg,Do you see blue blankets or curtains?,gqa
2,11,/opt/dlami/nvme/data/raw_distill/gqa_train/4526.jpg,Is there any truck in this photo that is brown?,gqa
2,12,/opt/dlami/nvme/data/raw_distill/gqa_train/2402167.jpg,"Where is the Coca Cola, on the right or on the left of the picture?",gqa
2,13,/opt/dlami/nvme/data/raw_distill/gqa_train/2338309.jpg,What is in front of the woman?,gqa
2,14,/opt/dlami/nvme/data/raw_distill/textvqa_train/textvqa_train-00005-of-00020_499.jpg,what kind of lock key is on the keyboard?,textvqa
2,15,/opt/dlami/nvme/data/raw_distill/gqa_train/2392628.jpg,Do the couch and the sweatshirt have the same color?,gqa
2,16,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00000-of-00136_556.jpg,Are all zebras facing the same way?,vqav2
2,17,/opt/dlami/nvme/data/raw_distill/gqa_train/2352770.jpg,Is the cellphone on the right?,gqa
2,18,/opt/dlami/nvme/data/raw_distill/vqav2_train/vqav2_train-00002-of-00136_2227.jpg,How many animals are laying down?,vqav2
2,19,/opt/dlami/nvme/data/raw_distill/gqa_train/277.jpg,Does his hair look blond or white?,gqa
